district,Need_Index,Supply_Index,Gap_Index,Quadrant
종로구,50.495696351893415,23.700646630409814,26.7950497214836,C
중구,27.023789106138913,18.40659556914734,8.617193536991575,B
용산구,30.254233816090718,18.327098937517157,11.927134878573561,B
성동구,37.74004225104,24.149821381344395,13.590220869695607,B
광진구,49.83057886592448,19.004996989635035,30.825581876289444,C
동대문구,26.923943737472875,25.66611883358973,1.2578249038831437,B
중랑구,54.49513733405921,36.71543551156637,17.77970182249284,D
성북구,44.132207496815994,38.57590323786218,5.556304258953816,A
강북구,68.7125859078337,22.99458457203307,45.71800133580063,C
도봉구,64.04724797892635,27.235163817355698,36.81208416157065,C
노원구,60.881264648980284,70.69116425087047,-9.809899601890187,D
은평구,52.105468336835024,37.25727314540112,14.848195191433902,D
서대문구,55.64666822036183,27.919922647720718,27.726745572641114,C
마포구,36.89912127573454,29.74024901508775,7.158872260646788,B
양천구,39.3180313381337,41.017718456049295,-1.6996871179155946,A
강서구,50.83597203682388,49.495166026058435,1.3408060107654478,D
구로구,50.44688008419886,38.53799204531455,11.908888038884307,D
금천구,58.59799156799441,13.04711609584088,45.550875472153535,C
영등포구,29.49229731437578,34.416951880941276,-4.924654566565497,A
동작구,50.83406009574813,28.611834361827583,22.222225733920546,C
관악구,62.96782683755067,32.40036214305093,30.56746469449974,D
서초구,15.76718350365594,43.27064114821521,-27.503457644559273,A
강남구,30.519095794953806,62.884109855028456,-32.36501406007465,A
송파구,43.052236092790984,50.51416850180636,-7.461932409015375,A
강동구,47.54421717235644,32.52395740914077,15.02025976321567,A
